sitio,cultivo,protec,trt,bq,g,hum,m2,kg_ha,crop_trt,prod,prod_compact
MDP,cebada,semilla,6,3,810,10.15,1.68,5037.27159468439,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
MDP,cebada,semilla,6,2,816,10.15,1.68,5074.58471760798,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
MDP,cebada,semilla,6,1,880,10.15,1.68,5472.59136212625,C6,RIZODERMA_SX + VITAGROW + STZN,RSX+VTG+STZN
MDP,cebada,semilla,7,1,860,10.15,1.68,5348.21428571429,C7,CURACYT,CURACYT
MDP,cebada,semilla,7,3,768,10.15,1.68,4776.07973421927,C7,CURACYT,CURACYT
MDP,cebada,semilla,7,2,803,10.15,1.68,4993.7396179402,C7,CURACYT,CURACYT
MDP,cebada,semilla,8,1,844,10.15,1.68,5248.71262458472,C8,SISTIVA_PREMIS_2X,SIST2X
MDP,cebada,semilla,8,3,848,10.15,1.68,5273.58803986711,C8,SISTIVA_PREMIS_2X,SIST2X
MDP,cebada,semilla,8,2,764,10.15,1.68,4751.20431893688,C8,SISTIVA_PREMIS_2X,SIST2X
MDP,cebada,semilla,9,3,742,10.15,1.68,4614.38953488372,C9,CHECK,CHECK
MDP,cebada,semilla,9,1,826,10.15,1.68,5136.77325581395,C9,CHECK,CHECK
MDP,cebada,semilla,9,2,799,10.15,1.68,4968.86420265781,C9,CHECK,CHECK
MDP,cebada,semilla,10,2,841,10.15,1.68,5230.05606312292,C10,CHECK,CHECK
MDP,cebada,semilla,10,1,888,10.15,1.68,5522.34219269103,C10,CHECK,CHECK
MDP,cebada,semilla,10,3,762,10.15,1.68,4738.76661129568,C10,CHECK,CHECK
MDP,trigo,semilla,1,3,509,12.6,1.26,4105.44481358435,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,trigo,semilla,1,1,578,12.6,1.26,4661.97858988557,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,trigo,semilla,1,2,499,12.6,1.26,4024.78774455519,T1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
MDP,trigo,semilla,2,3,505,12.6,1.26,4073.18198597269,T2,VIBRANCE_INTEGRAL,VIBR
MDP,trigo,semilla,2,2,550,12.6,1.26,4436.13879660391,T2,VIBRANCE_INTEGRAL,VIBR
MDP,trigo,semilla,2,1,591,12.6,1.26,4766.83277962348,T2,VIBRANCE_INTEGRAL,VIBR
MDP,trigo,semilla,3,1,566,12.6,1.26,4565.19010705057,T3,SISTIVA_PREMIS,SIST
MDP,trigo,semilla,3,2,525,12.6,1.26,4234.49612403101,T3,SISTIVA_PREMIS,SIST
MDP,trigo,semilla,3,3,540,12.6,1.26,4355.48172757475,T3,SISTIVA_PREMIS,SIST
MDP,trigo,semilla,4,2,556,12.6,1.26,4484.53303802141,T4,RANCONA_TRIO_300,RANCO
MDP,trigo,semilla,4,1,476,12.6,1.26,3839.27648578811,T4,RANCONA_TRIO_300,RANCO
MDP,trigo,semilla,4,3,532,12.6,1.26,4290.95607235142,T4,RANCONA_TRIO_300,RANCO
MDP,trigo,semilla,5,3,500,12.9,1.26,4019.01070505722,T5,RIZODERMA,RIZO
MDP,trigo,semilla,5,2,566,12.6,1.26,4565.19010705057,T5,RIZODERMA,RIZO
MDP,trigo,semilla,5,1,503,12.6,1.26,4057.05057216685,T5,RIZODERMA,RIZO
MDP,trigo,semilla,6,2,568,12.6,1.26,4581.32152085641,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
MDP,trigo,semilla,6,3,501,12.6,1.26,4040.91915836102,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
MDP,trigo,semilla,6,1,571,12.6,1.26,4605.51864156515,T6,RIZODERMA + VITAGROW + STZN,RIZO+VTG+STZN
MDP,trigo,semilla,7,3,567,12.6,1.26,4573.25581395349,T7,CURACYT,CURACYT
MDP,trigo,semilla,7,2,491,12.6,1.26,3960.26208933186,T7,CURACYT,CURACYT
MDP,trigo,semilla,7,1,576,12.6,1.26,4645.84717607974,T7,CURACYT,CURACYT
MDP,trigo,semilla,8,2,559,12.7,1.26,4503.57142857143,T8,SISTIVA_PREMIS_2X,SIST2X
MDP,trigo,semilla,8,3,592,12.6,1.26,4774.89848652639,T8,SISTIVA_PREMIS_2X,SIST2X
MDP,trigo,semilla,8,1,616,12.6,1.26,4968.47545219638,T8,SISTIVA_PREMIS_2X,SIST2X
MDP,trigo,semilla,9,2,564,12.2,1.26,4569.87818383167,T9,SISTIVA_PREMIS + ALLTEC_ZN,SIST+Zn
MDP,trigo,semilla,9,3,503,12.6,1.26,4057.05057216685,T9,SISTIVA_PREMIS + ALLTEC_ZN,SIST+Zn
MDP,trigo,semilla,9,1,549,12.6,1.26,4428.073089701,T9,SISTIVA_PREMIS + ALLTEC_ZN,SIST+Zn
MDP,trigo,semilla,10,2,520,12.6,1.26,4194.16758951643,T10,CHECK,CHECK
MDP,trigo,semilla,10,3,427,12.6,1.26,3444.05684754522,T10,CHECK,CHECK
Tandil,cebada,semilla,1,1,,,,1914,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
Tandil,cebada,semilla,1,2,,,,4914,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
Tandil,cebada,semilla,1,3,,,,4929,C1,SISTIVA_PREMIS + ALZ_12051,SIST+ALZ
