cultivo,sitio,prod,bq,cobertura,kg_ha
Trigo,MDP,SISTIVA_PREMIS + ALZ_12051,1,62,4661.97858988557
Trigo,MDP,SISTIVA_PREMIS + ALZ_12051,2,53,4024.78774455519
Trigo,MDP,SISTIVA_PREMIS + ALZ_12051,3,64,4105.44481358435
Trigo,MDP,VIBRANCE_INTEGRAL,1,56,4766.83277962348
Trigo,MDP,VIBRANCE_INTEGRAL,2,55,4436.13879660391
Trigo,MDP,VIBRANCE_INTEGRAL,3,63,4073.18198597269
Cebada,La Dulce,RANCONA_TRIO_400,1,94,3566.66666666667
Cebada,La Dulce,RANCONA_TRIO_400,2,89,3144.34293097084
Cebada,La Dulce,RANCONA_TRIO_400,3,84,4383.33333333333
Cebada,La Dulce,RIZODERMA_SX,1,99,2991.66666666667
Cebada,La Dulce,RIZODERMA_SX,2,87,4175
Cebada,La Dulce,RIZODERMA_SX,3,87,3883.33333333333
Cebada,La Dulce,RIZODERMA_SX + VITAGROW + STZN,1,77,3666.66666666667
Cebada,La Dulce,RIZODERMA_SX + VITAGROW + STZN,2,80,3066.66666666667
Cebada,La Dulce,RIZODERMA_SX + VITAGROW + STZN,3,76,4521.66851236619
Cebada,La Dulce,SISTIVA_PREMIS,1,97,2933.33333333333
Cebada,La Dulce,SISTIVA_PREMIS,2,98,4066.66666666667
Cebada,La Dulce,SISTIVA_PREMIS,3,84,4191.66666666667
Cebada,La Dulce,SISTIVA_PREMIS + ALZ_12051,1,85,4441.66666666667
Cebada,La Dulce,SISTIVA_PREMIS + ALZ_12051,2,95,3325
Cebada,La Dulce,SISTIVA_PREMIS + ALZ_12051,3,71,4108.33333333333
Cebada,La Dulce,VIBRANCE_INTEGRAL,1,79,4591.66666666667
Cebada,La Dulce,VIBRANCE_INTEGRAL,2,86,2916.66666666667
Cebada,La Dulce,VIBRANCE_INTEGRAL,3,84,3625
Trigo,La Dulce,RANCONA_TRIO_300,1,70,2906.96197858989
Trigo,La Dulce,RANCONA_TRIO_300,2,67,1772.7427094869
Trigo,La Dulce,RANCONA_TRIO_300,3,68,2444.87264673311
Trigo,La Dulce,RIZODERMA,1,74,2419.66777408638
Trigo,La Dulce,RIZODERMA,2,74,2007.10594315246
Trigo,La Dulce,RIZODERMA,3,73,1833.44407530454
Trigo,La Dulce,RIZODERMA + VITAGROW + STZN,1,75,1890.36544850498
Trigo,La Dulce,RIZODERMA + VITAGROW + STZN,2,65,2512.08564045773
Trigo,La Dulce,RIZODERMA + VITAGROW + STZN,3,69,2822.94573643411
Trigo,La Dulce,SISTIVA_PREMIS,1,73,2671.71650055371
Trigo,La Dulce,SISTIVA_PREMIS,2,70,2352.45478036176
Trigo,La Dulce,SISTIVA_PREMIS,3,70,2428.06939830196
Trigo,La Dulce,SISTIVA_PREMIS + ALZ_12051,1,74,2049.99630860096
Trigo,La Dulce,SISTIVA_PREMIS + ALZ_12051,2,73,1621.5134736065
Trigo,La Dulce,SISTIVA_PREMIS + ALZ_12051,3,73,2696.92137320044
Trigo,La Dulce,VIBRANCE_INTEGRAL,1,68,2562.4953857512
Trigo,La Dulce,VIBRANCE_INTEGRAL,2,71,2243.23366555925
Trigo,La Dulce,VIBRANCE_INTEGRAL,3,71,2881.75710594315
