cultivo,sitio,prod,bq,kg_ha
trigo,MDP,SISTIVA_PREMIS,3,4355.48172757475
trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,1,4428.073089701
trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,2,4569.87818383167
trigo,MDP,SISTIVA_PREMIS + ALLTEC_ZN,3,4057.05057216685
trigo,MDP,SISTIVA_PREMIS + ALZ_12051,1,4661.97858988557
trigo,MDP,SISTIVA_PREMIS + ALZ_12051,2,4024.78774455519
trigo,MDP,SISTIVA_PREMIS + ALZ_12051,3,4105.44481358435
trigo,MDP,VIBRANCE_INTEGRAL,1,4766.83277962348
trigo,MDP,VIBRANCE_INTEGRAL,2,4436.13879660391
trigo,MDP,VIBRANCE_INTEGRAL,3,4073.18198597269
trigo,Tandil,CHECK,1,4614
trigo,Tandil,CHECK,2,4171
trigo,Tandil,CHECK,3,1371
trigo,Tandil,CURACYT,1,4543
trigo,Tandil,CURACYT,2,1857
trigo,Tandil,CURACYT,3,2714
trigo,Tandil,RANCONA_TRIO_300,1,4300
trigo,Tandil,RANCONA_TRIO_300,2,1600
trigo,Tandil,RANCONA_TRIO_300,3,4071
trigo,Tandil,RIZODERMA,1,4229
trigo,Tandil,RIZODERMA,2,2500
trigo,Tandil,RIZODERMA,3,3614
trigo,Tandil,RIZODERMA + VITAGROW + STZN,1,4057
trigo,Tandil,RIZODERMA + VITAGROW + STZN,2,4029
trigo,Tandil,RIZODERMA + VITAGROW + STZN,3,4129
trigo,Tandil,SISTIVA_PREMIS,1,1957
trigo,Tandil,SISTIVA_PREMIS,2,4943
trigo,Tandil,SISTIVA_PREMIS,3,4400
trigo,Tandil,SISTIVA_PREMIS + ALLTEC_ZN,1,5529
trigo,Tandil,SISTIVA_PREMIS + ALLTEC_ZN,2,3629
trigo,Tandil,SISTIVA_PREMIS + ALLTEC_ZN,3,2143
trigo,Tandil,SISTIVA_PREMIS + ALZ_12051,1,1643
trigo,Tandil,SISTIVA_PREMIS + ALZ_12051,2,3186
trigo,Tandil,SISTIVA_PREMIS + ALZ_12051,3,4414
trigo,Tandil,VIBRANCE_INTEGRAL,1,2057
trigo,Tandil,VIBRANCE_INTEGRAL,2,3857
trigo,Tandil,VIBRANCE_INTEGRAL,3,4443
