"tandilia",9,,"T9","C9","T6","C6","T1","C1",,,,,,,,,,,,,,,
"tandilia",8,,"T8","C8","T3","C3","T5","C5",,,,,,,,,,,,,,,
"tandilia",7,,"T7","C7","T9","C9","T2","C2",,,,,,,,,,,,,,,
"tandilia",6,,"T6","C6","T2","C2","T7","C7",,,,,,,,,,,,,,,
"tandilia",5,,"T5","C5","T8","C8","T3","C3",,,,,,,,,,,,,,,
"tandilia",4,,"T4","C4","T1","C1","T4","C4",,,,,,,,,,,,,,,
"tandilia",3,,"T3","C3","T5","C5","T9","C9",,,,,,,,,,,,,,,
"tandilia",2,,"T2","C2","T7","C7","T6","C6",,,,,,,,,,,,,,,
"tandilia",1,,"T1","C1","T4","C4","T8","C8",,,,,,,,,,,,,,,
"jmf",4,"R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"jmf",3,"R","T7","T3","T5","T9","T6","T10","T2","T4","T1","T8","C7","C3","C5","C9","C6","C10","C2","C4","C1","C8","R"
"jmf",2,"R","T4","T10","T6","T8","T7","T9","T1","T3","T5","T2","C4","C10","C6","C8","C7","C9","C1","C3","C5","C2","R"
"jmf",1,"R","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","R"
"jmf",0,"R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"necochea",3,,"C4","C2","C6","C3","C1","C5","T4","T2","T6","T3","T1","T5",,,,,,,,,
"necochea",2,,"C3","C5","C2","C6","C4","C1","T3","T5","T2","T6","T4","T1",,,,,,,,,
"necochea",1,,"C6","C1","C5","C2","C4","C3","T6","T1","T5","T2","T4","T3",,,,,,,,,
